imdb_title_id,original_title,year,genre,duration,country
tt0000009,Miss Jerry,1894,Romance,45,USA
tt0000574,The Story of the Kelly Gang,1906,"Biography, Crime, Drama",70,Australia
tt0001892,Den sorte drøm,1911,Drama,53,"Germany, Denmark"
tt0002101,Cleopatra,1912,"Drama, History",100,USA
tt0002130,L'Inferno,1911,"Adventure, Drama, Fantasy",68,Italy
tt0002199,"From the Manger to the Cross; or, Jesus of Nazareth",1912,"Biography, Drama",60,USA
tt0002423,Madame DuBarry,1919,"Biography, Drama, Romance",85,Germany
tt0002445,Quo Vadis?,1913,"Drama, History",120,Italy
tt0002452,Independenta Romaniei,1912,"History, War",120,Romania
tt0002461,Richard III,1912,Drama,55,"France, USA"
tt0002646,Atlantis,1913,Drama,121,Denmark
tt0002844,Fantômas - À l'ombre de la guillotine,1913,"Crime, Drama",54,France
tt0003014,Ingeborg Holm,1913,Drama,96,Sweden
tt0003037,Juve contre Fantômas,1913,"Crime, Drama",61,France
tt0003102,Ma l'amor mio non muore...,1914,Drama,90,Italy
tt0003131,Maudite soit la guerre,1914,"Drama, War",50,Belgium
tt0003165,Le mort qui tue,1913,"Crime, Drama, Mystery",90,France
tt0003167,"Home, Sweet Home",1914,Drama,55,USA
tt0003419,Der Student von Prag,1913,"Drama, Fantasy, Horror",85,Germany
tt0003471,Traffic in Souls,1913,"Crime, Drama",88,USA
tt0003489,Gli ultimi giorni di Pompei,1913,"Adventure, Drama",88,Italy
tt0003637,Assunta Spina,1915,Drama,72,Italy
tt0003643,The Avenging Conscience: or 'Thou Shalt Not Kill',1914,"Crime, Drama, Horror",78,USA
tt0003657,The Bargain,1914,Western,70,USA
tt0003740,Cabiria,1914,"Adventure, Drama, History",148,Italy
tt0003772,Cinderella,1990,"Fantasy, Drama",52,USA
tt0003883,L'enfant de Paris,1913,"Crime, Drama",124,France
tt0003930,Fantômas contre Fantômas,1914,"Crime, Drama",59,France
tt0003973,A Florida Enchantment,1914,Comedy,63,USA
tt0004026,Der Golem,1990,Horror,60,Germany
tt0004066,Det hemmelighedsfulde X,1914,"Drama, Mystery",84,Denmark
tt0004099,"His Majesty, the Scarecrow of Oz",1914,"Family, Fantasy, Adventure",59,USA
tt0004134,Hypocrites,1990,Drama,54,USA
tt0004150,In the Land of the Head Hunters,1914,"Drama, History",65,"USA, Canada"
tt0004181,Judith of Bethulia,1914,Drama,61,USA
tt0004457,The Patchwork Girl of Oz,1914,"Adventure, Family, Fantasy",81,USA
tt0004465,The Perils of Pauline,1914,"Action, Adventure, Drama",199,USA
tt0004635,The Squaw Man,1914,"Action, Drama, Romance",74,USA
tt0004681,Tess of the Storm Country,1914,Drama,80,USA
tt0004707,Tillie's Punctured Romance,1914,Comedy,82,USA
tt0004712,A tolonc,1915,Drama,67,Hungary
tt0004743,Uncle Tom's Cabin,1914,Drama,54,USA
tt0004766,The Virginian,1914,Western,55,USA
tt0004825,The Wishing Ring: An Idyll of Old England,1914,"Comedy, Drama",54,USA
tt0004838,The Wrath of the Gods,1914,"Drama, Romance",56,USA
tt0004872,Alias Jimmy Valentine,1915,"Crime, Drama",65,USA
tt0004873,Alice in Wonderland,1990,"Adventure, Family, Fantasy",52,USA
tt0004972,The Birth of a Nation,1915,"Drama, History, War",195,USA
tt0005060,Carmen,1915,Drama,59,USA
